Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2005-12-06,0,Couples together for 40 years - or just two months - sign up to tie the knot,"Anti-marriage policies a social ill, says judge",ENO condemned over top job appointments,Match report lands footballer in court over knee injury claim,Adrian Searle: A shaggy-dog story of success,Pick of the day: Performance On 3 | A Family Business | Lunchtime Concert,Obituary: Raymond Hains,Obituary: Ken Mackintosh,Letters: Rebuilding lives,"BBCSO/Belohlavek, Barbican, London",Richard Gott: Ch�vez will only gain from the US-backed opposition's ploy to undermine elections,Marina Hyde: The war on the literal,Italians protect panettone by 'copyrighting' the recipe,Jamaican gay activist shot dead after being abducted,Venezuela's left awaits huge win,Obituary: Robert Sloman,Obituary: Kenneth Hardy,Letters: ENO's quick change,Five killed as suicide bomber strikes in Israel,Long journey of Ramsey Clark,African earthquake buries children in homes,Judge orders detention  of opposition politician,EU wants action against election fraudsters,Company head is second to lose job over toxic spill,�452m of private money has caused a 'sea change' in the arts
2005-12-07,1,Tsunami inquest records more British tragedies,Sarkozy takes big step towards French presidency,Islanders make new attempt to go home,Bid to avoid murder trial by keeping coma girl alive,Letters: Phonic boom,Letters: A shedload of art,Letters: Religion is not too sacred to criticise,Letters: The knotty problem of marriage,Letters: Journalists are duty-bound to keep promises,South Africa plunges into political crisis as Mbeki's ex-deputy charged with rape,Obituary: Garth Taylor,Obituary: Peter Beet,�55m updating of sewage works will clean up river,Teenager bullied at KFC took overdose,Top judge says legal aid reforms have backfired,Compensation claimant who faked injury gets 14 days' jail,Julie Bindel: The spinster passes away,Character on the couch : #13 Prince Charles,"Right of reply: Neil LaBute,  writer of Wrecks","What was that all about? On Ego at the Soho Theatre, London","Yo-Yo Ma, Barbican, London",LA authorities warn of more booby-trapped pens,Rice admits US mistakes in war on terror after wave of criticism across Europe,Greens at odds over  high-speed rail tunnel,Prosecutor heading UN's Hariri inquiry stands down
2005-12-08,0,Jobs wanted Intel chips five years ago,Biography of homeless man wins Guardian First Book Award,Education in olive branches,How Miami is reinventing itself as the US's capital of art,Mirror nationals cut 20 staff,Radio groups make a play for the north-east,McLeish to stay at Rangers,The Birth of Yahoo Answers,McLeish to stay at Rangers,Willetts gets Tory education brief,Hopes rise for Iraq hostage,A great day for drivers,Northumbrian Water sees 55% rise in pre-tax profits,Essien facing ban after Uefa charge,Skinner barred over cocaine slur,Martin Jacques: China is well on its way to being the other superpower,Row as nursing union drops high court challenge,Three cleared of Stormont spying charges,The websites nobody wants,Back in the saddle,Make-A-Wish Foundation; and Newstalk 106FM's Ger Gilroy,Wikipedia bans anonymous contributors to prevent libel,Why go out?,Minister forges links with Iraqi colleges,Win tickets for Liverpool v Middlesbrough
2005-12-09,0,England stroll down easy street,Delicious bought by Y.ah.oo!,Rounding up the Week,Blogging without borders,How green is their tunnel?,Second hand games,Box TV sold for �6.12m,Weekend betting,Cameron brings Boris Johnson back to frontbench,December 5-9,ITV faces strike threat,Why go out?,Prewar claims 'sourced from rendition detainee',Consumers with high water bills irked by investor reward,Interview: Gilles Peterson,"David Hasselhoff, and Mardi Gras",Soldier in fake pics row will not face charges,Zenden out for the season,"Scope college breached disability rules, say Ofsted",Blair: little room for manoeuvre in EU talks,How green are our Tories?,Charges possible over Menezes shooting,Hong Kong's last-chance saloon,Real deals,Schoolboy hit with acid in basketball row
2005-12-12,1,US and Britain urged to set out 'milestones' for exit strategy,Letters: Badly drafted laws that threaten basic rights,Straw sets Britain on collision course with France over CAP,Country diary: Northern Pennines,Stuart Jeffries: A study shows that thin people are more likely to commit suicide than their corpulent counterparts. How can we be sure the research wasn't undertaken by fat people with a grudge?,Christmas with Bach,Richard Pryor: The wino and the junkie,Wait goes on for Kember family as kidnappers' deadline passes,Wetherspoons and the great TV takeover,Chinese paramilitary chief held after village killings,"Marcel Berlins: Same sex unions, South African style",Leader: Global warming,Are we defined by appearance?,Montreal deal raises hopes for Europe's emissions scheme,The week in ideas,Letters: Support for campaigns to replace animals in research,Pick of the day: Night in the City | Santa - a Life | Keeping Up With the Joneses,So what's so good about Bach then?,"Bach, the universal musician",Anti-war cry of a peace mom,"CBSO/Kocsis, Symphony Hall, Birmingham",Roy Hattersley: It's a question of rules,Leader: In praise of... dressing down,Sir John's passion,Obituary: Eugene McCarthy
2005-12-13,0,Falconio family seek his body,Unhealthy appetites,"Shake, rattle and read",Protests too much,Andrew Motion : Mr Speaker,The arboriculturist,Getting out of London,College days,Nothing to report,Too much too late,Working class zeros,Sing if you're glad to be recognised by the law,Critics' choice,Don't give the nod,Letters,Early words,Higher calling,Food science,Students aren't revolting,Capped by Bradford,Higher diary,Which just goes to show what a wonderful world this is....,CIA flights reports 'credible',The UK's top 10 podcasts on 13/12/2005,Guardian's Gervais podcast tops chart
2005-12-14,1,Church to sell bishops' 13th century castle,Letters: Carrying on the fight for workers' rights,Letters: Christmas rendition,Obituary letter: John Timpson,Character on the couch #14: The Pied Piper,Send us your snaps ...,Jenny Colgan: Enough with the parenting advice already,Manchester United 4 - 0 Wigan,Structured Blogging ready for take-off?,Four guilty of killing bar manager in random attack,Watchdog dishes the dirt on restaurants,'Asbestos' death ruled accidental,"Wikipedia no worse for science info than Britannica, study finds",Bush admits Iraq intelligence was wrong,Puzzler buyout creates sudoku millionaires,Labour's education reform rebels,'Bleeding sore' remark angers ITV News staff,Provident closes car credit business,Matt Seaton: What terror did for cycling,Email to ITN staff from chief executive Mark Wood,Reporter 'shocked and offended' by Livingstone,Turner admits plans will see pensions spending rise,Angel delights,"War is over but Ivorians are still paying the price: poverty, desperation and infection",Shire Pony; and Worthy Cause
2005-12-15,1,PC's boasts put girlfriend in dock,"Lowestoft, home to northern Europe's earliest identified humans",Census reveals oceans' secrets,Letters: The roots of today's anti-semitism,Letters: Out of order,Colombian leader's U-turn offers hope to families of hostages,General investigated over murder of prisoner,America's right rally to protect a Christmas 'under siege',"Iraq intelligence wrong - but I was right to take us to war, Bush insists",Russia threatens to cut off Ukraine's gas supply,Iranian president calls Holocaust a 'myth' in live TV broadcast,Letters: Fragile economy of the opera house,Dylan the DJ? You're just gonna have to get used to it,Two  tribes  go to  war,"Andrew Clark: Murder, mystery and a media industry",David James: Playwrighting is not a 'young man's game',MPs vote to rename Grozny after dead leader,Sunnis ready to grasp a share of power,Dead farmer's will puts property in lottery,Ghaith Abdul-Ahad: Twenty dinar - the price of democracy,Brave new thoughts,David McKie: A lesson in train travel,"Country diary: The Burren, Ireland",Conrad Black indicted on new charges,Agreement reached on US torture ban
2005-12-16,0,Kurds flock to polling stations to back de facto independence,Maureen Lipman:  I've been laid low by a migraine once again,Country diary: Northumberland,"Cricket: Good work by Team England, shame about their cricket",Snooker: Rising Ding books semi-final spot,Rugby union: Ross the marked man in Catalan cauldron,Olympics: Chairman Lemley seeks builders at �500 a day,"Olympics: Games must benefit everybody, MPs warn",Rugby union: Sale and Ospreys use new ingredients to provide right flavour,Rugby union: Back strain puts Farrell debut  on hold again,Golf: Flying start Clark equals record,Horse racing: Betfair acts to stop layers profiting from dead horses,Boxing: Haye gung-ho for classy Gurov,Betting: Where the money went,Cricket: War of words spices Australia's dog days,Horse racing: Walford faces Kingscliff agony,Athletics: Montgomery faces legal action after refusing to return earnings,The week that was,Senate rejects Patriot Act renewals,Man found guilty of financier's manslaughter,Sinn Fein expels 'British agent','New UK concession' brings deal closer,Gas engineers call off Monday strike,Black pleads not guilty to new charges,Cameron appeals to Lib Dem MPs
2005-12-19,0,Rise in poll complaints troubles Iraq vote monitors,City left to shiver as heating system breaks,Salim Lone: The nadir of occupation,Letters: Rural idylls and farming realities,"Country diary: Hardley, Norfolk",Inquiry begins into work of stem-cell pioneer,Hester Lacey: Help - send more guns,Marcel Berlins: Celebrities pay high price for open justice,Madeleine Bunting: The world pays a heavy price for our cheap Christmas miracles,Stuart Jeffries: the post-Christian Christmas,Letters: Making it like a man,Letters: Have some faith in shamans and spirituality,Letters: Pointless ivy,The recipe for success: get happy and you will get ahead in life,"Britain helped US seize pair held in Guant�namo, says ex-minister",Rooney pipped by God in survey of under-10s,Family of five killed in house fire,"Nash Ensemble/Lott/Haitink, Wigmore Hall, London",Warlords and women take seats in Afghan parliament,Prizewinning author involved in peace talks,Westlife beaten by JCB to top of the pop charts,Mario Botta's buildings,"Stereophonics, Alexandra Palace, London","CBSO/Dausgaard, Symphony Hall, Birmingham",Stampede at Madras relief centre kills 40
2005-12-20,0,World briefing: Simon Tisdall,Court orders Uganda to pay Congo damages,Letters: The questions that need to be asked about 'Stormontgate',"Property mogul killed rival, says judge",Leader: It's not all bad news,Merry Christmas - you're nicked,Corrections and clarifications,In the grip  of the Ankang - China's secret network of mental institutions to punish political prisoners.,Jenny Colgan: View from a broad,The question: is it ever acceptable to send email Christmas cards?,Shipwrecked pair survive 11 days in stormy South China Sea,Allawi trails in third place  in poll update,"War crimes suspect, 88, freed after judge doubts evidence",Simple ceremony heralds new era for Afghanistan,Leader: In praise of ... Christmas carols,Jury clears man of sex attack while he was sleepwalking,"Passive smokers risk developing eye disease, says research","A Journey to London, Orange Tree, London","VPO/Mehta, Barbican, London",Letters: Low notes for classical musicians,Richard Gott: Bolivia's leftwing government rejects US domination,Triumph for Bolivia's candidate of poor,US research 'endangered Amazon villagers',Letters: Fairness in fashion,Inquest told of bombs that killed Britons
2005-12-21,0,Palestinian gunmen aim at Manger Square crowd,"Response: Diamonds bring peace and wealth, not bloodshed",Corrections and clarifications,Matt Seaton: Taking a test would show that cyclists have shed their self-righteous sense of entitlement to ride.,I'm perfectly comfortable being a  dual-national - until England and France actually come into conflict,Stuttgart,Munich,Hamburg,Frankfurt,Hanover,Gelsenkirchen,Dortmund,Kaiserslautern,Eurofighter sale to Saudi Arabia agreed,Berlin,Leipzig,Nuremberg,Cologne,Cameron rewards Ashcroft with deputy chair,Saddam: I've been tortured,ENO chairman resigns,Matt Seaton: A day without it? No chance,Guess the Christmas ratings!,England ODI averages in Pakistan,Kidnapped teachers released in Gaza City
2005-12-22,1,Football: Burley to be named as new Saints boss,Police authorities rebel over merger plans,Father jailed for 'possessed baby' murder,An English team's castle is its home,Britain wins �8bn Typhoon deal from Saudis,Happily ever after,Maternity tests,Change your tune,Tube strike set for New Year's Eve,Why go out?,Gamesblog 2005: your favourite bits?,On the road with Tony,Dr Simon Atkins: Why the gym won't fix it,Professor Nicola Maffulli: Rhythm and bruises,Lucy Mangan: Christmas cheer,Ex-chairman questioned in bribes inquiry,We love 2005!,"Christmas time, Real woe and whine",TV ratings: December 21,I saw three slips,Wenger wards Bar�a off Henry,Sri Lankan children 'missing out' on education,Zoo fears worst for missing penguin,Alistair Cooke's bones reported stolen by New York criminals,Ken Campbell on improvised theatre
